Australian_City,All_Flights,Total_Seats,AUS_Population,AUS_State,State_airports
Adelaide,5710,1460553,1379280,South Australia (SA), 1
Brisbane,36337,8762293,2536449,Queensland (QLD), 4
Cairns,4607,929423,158178,Queensland (QLD), 4
Canberra,1455,448404,477567,Australian Capital Territory (ACT), 1
Darwin,2108,352905,135982,Northern Territory (NT), 1
Gold Coast,4974,1208448,742600,Queensland (QLD), 4
Melbourne,54483,15088308,5315600,Victoria (VIC), 1
Newcastle,74,13024,465145,New South Wales (NSW), 2
Norfolk Island,36,1584,1748,External Territory (ET), 1
Perth,21637,5540124,2143491,Western Australia (WA), 2
Port Hedland,102,17952,15044,Western Australia (WA), 2
Sunshine Coast,125,20218,370828,Queensland (QLD), 4
Sydney,81389,23048251,5184896,New South Wales (NSW), 2
